Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,ABV,Size
776,AF Brew,Eat The Dust AF Brew,560,Liters,Russia,8,0.121-3
2368,,"Edelstoff / Dortmunder / 5,6%",330,Pieces,,5.6,0.121-3
49,,EDGE,,,,,0.121-3
1311,EDGE,"Edge Accidental Jedi / imperial IPA / 10,9% / 0,33",420,Pieces,Spain,10.9,0.121-3
618,EDGE,"EDGE Apassionada / berliner weisse / 4% / 0,33",350,Pieces,Spain,4,0.121-3
622,EDGE,"EDGE Barrica #/ imperial stout BA / 9,3% / 0,33",450,Pieces,Spain,9.3,0.121-3
1522,EDGE,EDGE Barrica Bourbon Barrel Aged1,600,Pieces,Spain,10.5,0.121-3
1606,EDGE,EDGE Barrica Bourbon Barrel Aged,670,Pieces,Spain,10.5,0.121-3
3579,EDGE,Edge Chocolate Mint Milk Stout Barrel20,1200,Liters,Spain,5.6,0.121-3
168,EDGE,"EDGE Gift To Gaspar BA / imperial porter / 12,1% / 0,/ but",600,Pieces,Spain,12.1,0.121-3
621,EDGE,"EDGE HO HO HO / american strong ale / 9,2% / 0,33",300,Pieces,Spain,9.2,0.121-3
619,EDGE,"EDGE Padrino Chocolate/Vanilla / porter / 6,9% / 0,33",370,Pieces,Spain,6.9,0.121-3
167,EDGE,"EDGE Pure Decadence / imperial stout / 10,3% / 0,/ but",450,Pieces,Spain,10.3,0.121-3
620,EDGE,"EDGE Sangria Sour / fruit beer / 6,3% / 0,33",370,Pieces,Spain,6.3,0.121-3
1605,EDGE,EDGE Vintage 20Master Blend Bourbon Barrel Aged,670,Pieces,Spain,12.3,0.121-3
1064,Elderflower,Elderflower Presse non alcoholic,200,Pieces,,,0.121-3
2542,Wild Lab,ElectricMass / NE Session Pale Ale / 5%,320,Pieces,Russia,5,0.121-3
54,,Emelisse,,,,,0.121-3
318,Emelisse,Emelisse / D.I.P.A / double IPA / 7.9%,800,Liters,Netherlands,7.9,0.121-3
1699,Emelisse,Emelisse BIPA / 8% / 0.but,380,Pieces,Netherlands,8,0.121-3
169,Emelisse,"Emelisse Imp. Russian Stout / imperial stout / 11% / 0,/ but",420,Pieces,Netherlands,11,0.121-3
1700,Emelisse,"Emelisse Smoked Rye IPA / 6,2% / 0,but",380,Pieces,Netherlands,6.2,0.121-3
1701,Emelisse,"Emelisse Vanille Ice Cream Stout / 5,5% / 0,but",390,Pieces,Netherlands,5.5,0.121-3
1702,Emelisse,"Emelisse Vanille Ice Cream Stout 5,5%",1000,Liters,Netherlands,5.5,0.121-3
4261,,English Ciders,,,,,0.121-3
884,,Eric Bordelet,,,,,0.121-3
1223,Eric Bordelet,Eric Bordelet Poire Authentique,1800,Pieces,France,4,0.121-3
885,Eric Bordelet,Eric Bordelet Sidre Brut1,1600,Pieces,France,,0.121-3
1221,Eric Bordelet,Eric Bordelet Sidre Brut,1400,Pieces,France,5.5,0.121-3
886,Eric Bordelet,Eric Bordelet Sidre Brut Tendre1,1600,Pieces,France,,0.121-3
1222,Eric Bordelet,Eric Bordelet Sidre Brut Tendre,1400,Pieces,France,5,0.121-3
887,Eric Bordelet,Eric Bordelet Sydre Argelette1,2000,Pieces,France,,0.121-3
1224,Eric Bordelet,Eric Bordelet Sydre Argelette,2100,Pieces,France,5.5,0.121-3
3568,,Espiga,,,,,0.121-3
3572,Espiga,Espiga Citrus Base 0.44,550,Pieces,Spain,5.5,0.121-3
3571,Espiga,Espiga Fancy Desire 0.44,530,Pieces,Spain,5.5,0.121-3
3569,Espiga,Espiga Fruity Shake 0.44,550,Pieces,Spain,6.5,0.121-3
3570,Espiga,Espiga Hyperactive 0.44,550,Pieces,Spain,7.5,0.121-3
3560,Espiga,Espiga Hyperactive Barrel20,960,Liters,Spain,7.5,0.121-3
18,,Estonia1,,,,,0.121-3
3953,,Estonia,,,,,0.435
1038,Melody Brew,Etude #1 0.5,200,Pieces,Russia,,0.45
1033,Melody Brew,Etude 1,200,Pieces,Russia,7.5,0.453
545,Evil Twin,Evil Twin,,,USA,,0.474
1322,Evil Twin,"Evil Twin & Westbrook Imperial Mexican Biscotti Cake Break / imperial stout / 10,5% / 0,65",1850,Pieces,USA,10.5,0.475
547,Evil Twin,"Evil Twin Ashtray Heart / smoked porter / 8,9% / 0,355",550,Pieces,USA,8.9,0.476
2818,Evil Twin,Evil Twin Bible Belt 0.473,1270,Pieces,USA,13,1.476
2820,Evil Twin,Evil Twin Citra Sunshine Slacker 0.473,480,Pieces,USA,4.5,2.476
3512,Evil Twin,Evil Twin Coffenade IPA 0.355,650,Pieces,USA,7,1.3
2819,Evil Twin,Evil Twin Even More JCS 0.473,1400,Pieces,USA,12,2.1
2811,Evil Twin,Evil Twin Even More Jesus 0.473,670,Pieces,USA,12,0.265
2827,Evil Twin,"Evil Twin Every Day, Once A Day, Give Yourself An IPA 0.473",670,Pieces,USA,9,0.755
2812,Evil Twin,Evil Twin Falco 0.473,520,Pieces,USA,7,0.753
546,Evil Twin,"Evil Twin Freudian Sleep / barleywine / 10,3% / 0,355",630,Pieces,USA,10.3,0.121-3
2816,Evil Twin,Evil Twin Hazelnut Imperial Biscotti Break 0.473,770,Pieces,USA,11.5,0.121-3
2813,Evil Twin,Evil Twin Imperial Biscotti Break 0.473,670,Pieces,USA,11.5,0.121-3
2815,Evil Twin,Evil Twin Imperial Doughnut Break 0.473,1270,Pieces,USA,11.5,0.121-3
2817,Evil Twin,Evil Twin Irish-ish Coffee Stout 0.473,1150,Pieces,USA,10.3,0.121-3
2822,Evil Twin,Evil Twin Lemonade IPA 0.355,650,Pieces,USA,7,0.121-3
548,Evil Twin,"Evil Twin Lil 'B / imperial porter / 11,5% / 0,355",630,Pieces,USA,11.5,0.121-3
2825,Evil Twin,Evil Twin Mission Gose 0.355,450,Pieces,USA,4,0.121-3
2814,Evil Twin,Evil Twin Molotov Cocktail 0.355,500,Pieces,USA,13,0.121-3
2823,Evil Twin,Evil Twin Molotov Cocktail Barrel 30L,1400,Liters,USA,13,0.121-3
1211,Evil Twin,"Evil Twin No Hero / oat.stout / 7% / 0,473",600,Pieces,USA,7,0.121-3
2824,Evil Twin,Evil Twin No Hero 0.473,520,Pieces,USA,7,0.121-3
4454,Evil Twin,Evil Twin Ooohh¡­ It¡¯s In Queens? I Don¡¯t Know If I¡¯ll Make It Barrel,1600,Liters,USA,8.5,0.121-3
2821,Evil Twin,Evil Twin Pink Lemonade IPA 0.355,600,Pieces,USA,7,0.121-3
2826,Evil Twin,Evil Twin Sumo In A Sidecar 0.473,500,Pieces,USA,7,0.121-3
3511,Evil Twin,Evil Twin You're In The Jungle Baby 0.355,750,Pieces,USA,12,0.121-3
2810,Evil Twin,Ewil Twin IPA Kolata 0.473,570,Pieces,USA,8,0.121-3
5108,,Exposition / DDH Saison / 7%,600,Liters,,6.5,0.121-3
5128,AF Brew,Fake Mock Tail Part 1 0.33,250,Pieces,Russia,5.3,0.121-3
